id,ticker,strategy_source,strategy_id,behavior,entry_rule,timeframe,selected_version,status,outcome,entry_date,entry_price,shares,capital,avg_dollar_volume,liquidity_cap,technical_initial_stop_price,initial_stop_price,stop_price,highest_price,exit_price,hold_days,held_sessions,latest_price,market_value,unrealized_pnl,unrealized_pnl_pct,realized_pnl,realized_pnl_pct,close_date,close_time_et,close_price,close_reason
E5M-0107,LRCX,V3,LRCX_monthly_raw_pullback_3_5_6_25_none,raw_pullback_monthly,raw_pullback_reversal,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-08-05,77.039,83,6394.24,1313384850.63,13133848.51,72.0,72.0,77.8094,78.4417,81.6613,25,1,77.039,0.0,0.0,0.0,63.94,1.0,2024-08-06,09:35:00,77.8094,5m trailing/technical stop
E5M-0108,PANW,V3,PANW_swing_raw_rsi_10_30_4_5_none,raw_rsi_recovery_swing,raw_rsi_recovery,swing,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-08-07,152.105,42,6388.41,858041985.38,8580419.85,142.01,142.01,155.1471,155.905,158.1892,5,1,152.105,0.0,0.0,-0.0,127.77,2.0,2024-08-08,09:35:00,155.1471,5m trailing/technical stop
E5M-0109,PANW,V3,PANW_monthly_raw_rsi_10_30_6_10_none,raw_rsi_recovery_monthly,raw_rsi_recovery,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-08-07,152.105,25,3802.62,858041985.38,8580419.85,142.01,142.01,155.1471,155.905,161.2313,10,1,152.105,0.0,0.0,-0.0,76.06,2.0,2024-08-08,09:35:00,155.1471,5m trailing/technical stop
E5M-0110,MRVL,V3,MRVL_monthly_raw_pullback_3_3_6_25_none,raw_pullback_monthly,raw_pullback_reversal,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-08-08,61.16,106,6482.96,749707916.89,7497079.17,53.19,53.19,61.7716,62.01,64.8296,25,3,60.51,0.0,0.0,-1.06,64.83,1.0,2024-08-13,09:35:00,61.7716,5m trailing/technical stop
E5M-0111,NVDA,V2,NVDA_swing_rsi_21_35,v1_success_swing,v1_rsi_recovery,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-08-09,104.75,37,3875.75,39639663530.87,396396635.31,90.69,90.69,107.8925,108.35,109.9875,10,1,104.75,0.0,0.0,0.0,116.27,3.0,2024-08-12,09:35:00,107.8925,5m trailing/technical stop
E5M-0112,ANET,V2,ANET_monthly_rsi_21_45,v1_success_monthly,v1_rsi_recovery,monthly,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-08-13,86.5475,76,6577.61,837243715.74,8372437.16,72.9885,72.9885,88.2785,88.4725,95.2023,21,1,86.5475,0.0,0.0,0.0,131.56,2.0,2024-08-14,09:35:00,88.2785,5m trailing/technical stop
E5M-0113,MRVL,V3,MRVL_swing_raw_breakout_20_4_8_40_none,raw_breakout_swing,raw_breakout,swing,v31_from_v3:v3_raw_rebuild,CLOSED,WIN,2024-08-23,71.84,92,6609.28,752405035.96,7524050.36,65.1757,65.1757,65.1757,71.85,74.7136,8,5,69.84,0.0,0.0,-2.78,264.37,4.0,2024-08-30,09:30:00,74.7136,5m strategy target
E5M-0114,MRVL,V3,MRVL_monthly_raw_pullback_3_3_6_25_none,raw_pullback_monthly,raw_pullback_reversal,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,WIN,2024-08-23,71.84,55,3951.2,752405035.96,7524050.36,61.8436,61.8436,61.8436,71.85,76.1504,25,5,69.84,0.0,0.0,-2.78,237.07,6.0,2024-08-30,09:30:00,76.1504,5m strategy target
E5M-0115,AVGO,V2,AVGO_swing_rsi_7_30,v1_success_swing,v1_rsi_recovery,swing,v31_from_v2:v2_from_v1_success,CLOSED,LOSS,2024-08-30,162.82,41,6675.62,3548704684.79,35487046.85,155.41,155.41,155.41,162.82,170.961,10,1,162.82,0.0,0.0,0.0,-303.81,-4.55,2024-09-03,10:35:00,155.41,5m trailing/technical stop
E5M-0116,MRVL,V3,MRVL_swing_raw_breakout_20_4_8_40_none,raw_breakout_swing,raw_breakout,swing,v31_from_v3:v3_raw_rebuild,CLOSED,LOSS,2024-08-30,76.24,54,4116.96,806661277.0,8066612.77,68.9571,68.9571,68.9571,76.24,79.2896,8,2,70.02,0.0,0.0,-8.16,-393.28,-9.55,2024-09-04,09:30:00,68.9571,5m trailing/technical stop
E5M-0117,AVGO,V2,AVGO_swing_rsi_7_30,v1_success_swing,v1_rsi_recovery,swing,v31_from_v2:v2_from_v1_success,CLOSED,LOSS,2024-09-05,152.82,42,6418.44,3556142124.28,35561421.24,149.15,149.15,149.15,152.82,160.461,10,1,152.82,0.0,0.0,0.0,-154.14,-2.4,2024-09-06,09:30:00,149.15,5m trailing/technical stop
E5M-0118,ANET,V2,ANET_swing_rsi_14_30,v1_success_swing,v1_rsi_recovery,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-09-09,81.1925,79,6414.21,481841632.5,4818416.33,78.255,78.255,82.0044,82.0075,85.2521,10,1,81.1925,0.0,0.0,-0.0,64.14,1.0,2024-09-10,09:35:00,82.0044,5m trailing/technical stop
E5M-0119,MRVL,V3,MRVL_monthly_raw_pullback_3_3_6_25_none,raw_pullback_monthly,raw_pullback_reversal,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-09-09,68.93,56,3860.08,886193468.14,8861934.68,59.73,59.73,69.6193,69.88,73.0658,25,1,68.93,0.0,0.0,0.0,38.6,1.0,2024-09-10,10:00:00,69.6193,5m trailing/technical stop
E5M-0120,AVGO,V2,AVGO_swing_rsi_7_30,v1_success_swing,v1_rsi_recovery,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-09-10,148.21,44,6521.24,4156807561.14,41568075.61,134.9,134.9,149.6921,149.86,155.6205,10,1,148.21,0.0,0.0,0.0,65.21,1.0,2024-09-11,12:10:00,149.6921,5m trailing/technical stop
E5M-0121,AVGO,V2,AVGO_monthly_rsi_14_30,v1_success_monthly,v1_rsi_recovery,monthly,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-09-10,148.21,26,3853.46,4156807561.14,41568075.61,134.9,134.9,149.6921,149.86,163.031,21,1,148.21,0.0,0.0,0.0,38.53,1.0,2024-09-11,12:10:00,149.6921,5m trailing/technical stop
E5M-0122,MRVL,V3,MRVL_monthly_raw_pullback_3_3_6_25_none,raw_pullback_monthly,raw_pullback_reversal,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-09-19,74.88,87,6514.56,893484841.79,8934848.42,65.53,65.53,76.3776,76.55,79.3728,25,17,74.01,0.0,0.0,-1.16,130.29,2.0,2024-10-14,09:50:00,76.3776,5m trailing/technical stop
E5M-0123,AMD,V2,AMD_swing_breakout_20,v1_success_swing,v1_breakout,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-09-25,162.02,24,3888.48,4953617192.29,49536171.92,151.4386,151.4386,168.5008,168.63,170.121,10,1,162.02,0.0,0.0,0.0,155.54,4.0,2024-09-26,09:35:00,168.5008,5m trailing/technical stop
E5M-0124,AMD,V2,AMD_swing_breakout_20,v1_success_swing,v1_breakout,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-09-26,167.49,24,4019.76,5022857512.35,50228575.12,157.0043,157.0043,170.8398,171.21,175.8645,10,6,162.85,0.0,0.0,-2.77,80.4,2.0,2024-10-04,15:50:00,170.8398,5m trailing/technical stop
E5M-0125,LRCX,V3,LRCX_monthly_raw_pullback_3_5_6_25_none,raw_pullback_monthly,raw_pullback_reversal,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-10-02,81.409,29,2360.86,1086139312.82,10861393.13,72.6387,72.6387,83.0372,83.09,86.2935,25,2,81.11,0.0,0.0,-0.37,47.22,2.0,2024-10-04,09:35:00,83.0372,5m trailing/technical stop
E5M-0126,AMD,V2,AMD_swing_breakout_20,v1_success_swing,v1_breakout,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-10-04,170.9,23,3930.7,5014184665.05,50141846.65,159.52,159.52,172.609,173.45,179.445,10,2,170.97,0.0,0.0,0.04,39.31,1.0,2024-10-08,09:35:00,172.609,5m trailing/technical stop
E5M-0127,AMD,V2,AMD_swing_breakout_20,v1_success_swing,v1_breakout,swing,v31_from_v2:v2_from_v1_success,CLOSED,LOSS,2024-10-08,172.8,23,3974.4,5188690797.2,51886907.97,161.68,161.68,161.68,174.05,181.44,10,5,165.27,0.0,0.0,-4.36,-255.76,-6.44,2024-10-15,09:30:00,161.68,5m trailing/technical stop
E5M-0128,MRVL,V3,MRVL_swing_raw_breakout_20_4_8_40_none,raw_breakout_swing,raw_breakout,swing,v31_from_v3:v3_raw_rebuild,CLOSED,WIN,2024-10-14,77.68,66,5126.88,735598444.75,7355984.45,72.5186,72.5186,72.5186,77.68,80.7872,8,1,77.68,0.0,0.0,0.0,205.08,4.0,2024-10-15,09:30:00,80.7872,5m strategy target
E5M-0129,MRVL,V3,MRVL_swing_raw_breakout_20_4_8_40_none,raw_breakout_swing,raw_breakout,swing,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-10-15,79.41,84,6670.44,811992021.6,8119920.22,73.7786,73.7786,80.2041,80.82,82.5864,8,1,79.41,0.0,0.0,0.0,66.7,1.0,2024-10-16,10:30:00,80.2041,5m trailing/technical stop
E5M-0130,NVDA,V2,NVDA_monthly_breakout_100,v1_success_monthly,v1_breakout,monthly,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-10-21,143.71,47,6754.37,34735045100.44,347350451.0,129.52,129.52,145.1471,145.18,158.081,21,12,139.91,0.0,0.0,-2.64,67.54,1.0,2024-11-06,12:50:00,145.1471,5m trailing/technical stop
E5M-0131,AVGO,V2,AVGO_swing_rsi_7_30,v1_success_swing,v1_rsi_recovery,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-10-24,171.35,23,3941.05,3338403884.85,33384038.85,169.5,169.5,174.777,175.9661,179.9175,10,1,171.35,0.0,0.0,0.0,78.82,2.0,2024-10-25,10:05:00,174.777,5m trailing/technical stop
E5M-0132,TSLA,V3,TSLA_swing_raw_breakout_55_4_10_40_none,raw_breakout_swing,raw_breakout,swing,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-10-25,269.19,15,4037.85,20247415857.73,202474158.58,247.3829,247.3829,271.8819,272.78,279.9576,10,1,269.19,0.0,0.0,0.0,40.38,1.0,2024-10-28,10:30:00,271.8819,5m trailing/technical stop
E5M-0133,TSLA,V3,TSLA_monthly_raw_breakout_55_6_10_40_none,raw_breakout_monthly,raw_breakout,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-10-25,269.19,9,2422.71,20247415857.73,202474158.58,236.4793,236.4793,271.8819,272.78,285.3414,10,1,269.19,0.0,0.0,0.0,24.23,1.0,2024-10-28,10:30:00,271.8819,5m trailing/technical stop
E5M-0134,AVGO,V2,AVGO_swing_rsi_7_30,v1_success_swing,v1_rsi_recovery,swing,v31_from_v2:v2_from_v1_success,CLOSED,LOSS,2024-10-29,179.24,22,3943.28,3314601108.17,33146011.08,169.5,169.5,169.5,179.24,188.202,10,2,176.64,0.0,0.0,-1.45,-214.28,-5.43,2024-10-31,09:40:00,169.5,5m trailing/technical stop
E5M-0135,MRVL,V3,MRVL_monthly_raw_pullback_3_3_6_25_none,raw_pullback_monthly,raw_pullback_reversal,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-11-01,84.77,47,3984.19,836762929.54,8367629.3,75.02,75.02,85.6177,85.75,89.8562,25,1,84.77,0.0,0.0,-0.0,39.84,1.0,2024-11-04,10:40:00,85.6177,5m trailing/technical stop
E5M-0136,NVDA,V2,NVDA_monthly_breakout_100,v1_success_monthly,v1_breakout,monthly,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-11-06,145.61,46,6698.06,31102117309.25,311021173.09,132.7121,132.7121,147.0661,147.285,160.171,21,1,145.61,0.0,0.0,0.0,66.98,1.0,2024-11-07,09:35:00,147.0661,5m trailing/technical stop
