cash,date,open_trades,value
9436.82,2025-06-25,2,25787.48
15719.66,2025-06-26,1,25950.98
15744.11,2025-06-27,1,26155.61
15744.11,2025-06-30,1,26171.45
15744.11,2025-07-01,1,25861.91
15744.11,2025-07-02,1,26122.61
15847.4,2025-07-03,1,26363.84
15847.4,2025-07-07,1,26291.24
15847.4,2025-07-08,1,26407.4
16092.13,2025-07-09,1,26679.33
16092.13,2025-07-10,1,26758.63
16277.15,2025-07-11,1,26996.95
16277.15,2025-07-14,1,26941.7
9965.32,2025-07-15,2,27425.74
10133.73,2025-07-16,2,27664.69
10257.13,2025-07-17,2,27905.94
10257.13,2025-07-18,2,27727.96
10257.13,2025-07-21,2,27662.45
16600.65,2025-07-22,1,27290.57
16600.65,2025-07-23,1,27530.57
10115.85,2025-07-24,2,27720.01
10136.39,2025-07-25,2,27899.19
10270.24,2025-07-28,2,28354.98
10457.05,2025-07-29,2,28739.01
19113.03,2025-07-30,1,28921.83
29019.92,2025-07-31,0,29019.92
17455.52,2025-08-01,1,29019.92
29251.21,2025-08-04,0,29251.21
29251.21,2025-08-05,0,29251.21
29251.21,2025-08-06,0,29251.21
17551.51,2025-08-07,1,29251.21
29602.2,2025-08-08,0,29602.2
29602.2,2025-08-11,0,29602.2
29602.2,2025-08-12,0,29602.2
17799.32,2025-08-13,1,29602.2
17799.32,2025-08-14,1,29380.12
17799.32,2025-08-15,1,29159.96
29072.28,2025-08-18,0,29072.28
29072.28,2025-08-19,0,29072.28
29072.28,2025-08-20,0,29072.28
29072.28,2025-08-21,0,29072.28
29072.28,2025-08-22,0,29072.28
29072.28,2025-08-25,0,29072.28
10506.68,2025-08-26,2,29072.28
22245.29,2025-08-27,1,29191.18
17651.65,2025-08-28,1,29257.93
29373.99,2025-08-29,0,29373.99
29373.99,2025-09-02,0,29373.99
29373.99,2025-09-03,0,29373.99
17761.99,2025-09-04,1,29373.99
29490.11,2025-09-05,0,29490.11
29490.11,2025-09-08,0,29490.11
17707.67,2025-09-09,1,29490.11
29961.41,2025-09-10,0,29961.41
18159.49,2025-09-11,1,29961.41
18513.4,2025-09-12,1,30787.54
19345.53,2025-09-15,1,31646.73
32015.77,2025-09-16,0,32015.77
19239.97,2025-09-17,1,32015.77
32143.53,2025-09-18,0,32143.53
32143.53,2025-09-19,0,32143.53
19551.44,2025-09-22,1,32143.53
32269.45,2025-09-23,0,32269.45
32269.45,2025-09-24,0,32269.45
32269.45,2025-09-25,0,32269.45
32269.45,2025-09-26,0,32269.45
32269.45,2025-09-29,0,32269.45
19395.43,2025-09-30,1,32269.45
7376.61,2025-10-01,3,32314.99
7968.27,2025-10-02,3,32860.66
12060.18,2025-10-03,2,32580.78
8946.1,2025-10-06,3,35246.52
14079.32,2025-10-07,2,35930.15
9438.04,2025-10-08,3,36483.47
19431.54,2025-10-09,2,36856.52
37174.46,2025-10-10,0,37174.46
37174.46,2025-10-13,0,37174.46
37174.46,2025-10-14,0,37174.46
22406.9,2025-10-15,1,37174.46
37322.14,2025-10-16,0,37322.14
37322.14,2025-10-17,0,37322.14
37322.14,2025-10-20,0,37322.14
37322.14,2025-10-21,0,37322.14
37322.14,2025-10-22,0,37322.14
22517.67,2025-10-23,1,37322.14
22992.04,2025-10-24,1,37914.32
23151.91,2025-10-27,1,38212.77
23085.1,2025-10-28,1,38363.38
23599.29,2025-10-29,1,39127.29
23599.29,2025-10-30,1,38816.04
23599.29,2025-10-31,1,38786.04
39437.85,2025-11-03,0,39437.85
39437.85,2025-11-04,0,39437.85
39437.85,2025-11-05,0,39437.85
39437.85,2025-11-06,0,39437.85
39437.85,2025-11-07,0,39437.85
23668.69,2025-11-10,1,39437.85
23668.69,2025-11-11,1,39154.93
15704.87,2025-11-12,2,39298.37
38356.94,2025-11-13,0,38356.94
38356.94,2025-11-14,0,38356.94
38356.94,2025-11-17,0,38356.94
38356.94,2025-11-18,0,38356.94
38356.94,2025-11-19,0,38356.94
38356.94,2025-11-20,0,38356.94
38356.94,2025-11-21,0,38356.94
38356.94,2025-11-24,0,38356.94
38356.94,2025-11-25,0,38356.94
38356.94,2025-11-26,0,38356.94
38356.94,2025-11-28,0,38356.94
