avg_dollar_volume,behavior,capital,close_date,close_price,close_reason,close_time_et,entry_date,entry_price,entry_rule,exit_price,held_sessions,highest_price,hold_days,id,initial_stop_price,latest_price,liquidity_cap,market_value,outcome,realized_pnl,realized_pnl_pct,selected_version,shares,status,stop_cap_pct,stop_price,strategy_id,strategy_source,technical_initial_stop_price,ticker,timeframe,unrealized_pnl,unrealized_pnl_pct
30832362789.21,اختراق,65088.66,2025-10-13,195.4585,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-10-09,192.57,قاعدة اختراق,211.827,2,195.62,21,V31-0647,176.1686,183.16,308323627.89,0.0,TRAILING_WIN,976.31,1.5,السياسة المعتمدة,338,CLOSED,,195.4585,NVDA_monthly_breakout_approved,معتمد,176.1686,NVDA,monthly,0.0,-4.89
1420773454.28,ترند,86131.25,2025-10-15,143.3224,تحقق الهدف - تنفيذ خمس دقائق,09:30:00,2025-10-13,137.81,متابعة ترند,143.3224,2,140.92,13,V31-0648,130.81,138.31,14207734.54,0.0,WIN,3445.25,4.0,السياسة المعتمدة,625,CLOSED,,140.5662,LRCX_swing_trend_approved,معتمد,130.81,LRCX,swing,0.0,0.36
1483458873.86,ترند,87591.9,2025-10-17,146.9517,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-10-15,144.78,متابعة ترند,150.5712,2,147.58,13,V31-0649,132.3275,142.37,14834588.74,0.0,TRAILING_WIN,1313.88,1.5,السياسة المعتمدة,605,CLOSED,,146.9517,LRCX_swing_trend_approved,معتمد,132.3275,LRCX,swing,0.0,-1.66
6318136557.05,ارتداد,87791.4,2025-10-27,361.494,تحقق الهدف - تنفيذ خمس دقائق,09:30:00,2025-10-23,344.28,ارتداد زخم,361.494,2,358.3,10,V31-0650,324.05,354.0,63181365.57,0.0,WIN,4389.57,5.0,السياسة المعتمدة,255,CLOSED,,358.0512,AVGO_swing_rebound_approved,معتمد,324.05,AVGO,swing,0.0,2.82
16441591432.32,اختراق,52835.2,2025-10-28,260.384,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-10-24,252.8,قاعدة اختراق,265.44,2,260.42,10,V31-0651,226.0194,259.6,164415914.32,0.0,TRAILING_WIN,1585.06,3.0,السياسة المعتمدة,209,CLOSED,,260.384,AMD_swing_breakout_approved,معتمد,226.0194,AMD,swing,0.0,2.69
30082423025.23,اختراق,90463.5,2025-10-30,212.0866,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-10-28,201.03,قاعدة اختراق,221.133,2,212.1899,21,V31-0652,181.9031,207.04,300824230.25,0.0,TRAILING_WIN,4975.47,5.5,السياسة المعتمدة,450,CLOSED,,212.0866,NVDA_monthly_breakout_approved,معتمد,181.9031,NVDA,monthly,0.0,2.99
6148863454.54,ارتداد,92464.62,2025-11-12,360.1819,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-11-10,358.39,ارتداد زخم,376.3095,2,361.885,10,V31-0653,337.27,351.96,61488634.55,0.0,TRAILING_WIN,462.31,0.5,السياسة المعتمدة,258,CLOSED,,360.1819,AVGO_swing_rebound_approved,معتمد,337.27,AVGO,swing,0.0,-1.79
1600514718.82,ارتداد,55449.12,2025-11-12,159.6744,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-11-10,158.88,ارتداد زخم,165.2352,2,160.04,10,V31-0654,146.88,158.94,16005147.19,0.0,TRAILING_WIN,277.25,0.5,السياسة المعتمدة,349,CLOSED,,159.6744,SHOP_swing_rebound_approved,معتمد,146.88,SHOP,swing,0.0,0.04
1600514718.82,ارتداد,33205.92,2025-11-12,159.6744,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-11-10,158.88,ارتداد زخم,168.4128,2,160.04,21,V31-0655,145.16,158.94,16005147.19,0.0,TRAILING_WIN,166.03,0.5,السياسة المعتمدة,209,CLOSED,,159.6744,SHOP_monthly_rebound_approved,معتمد,145.16,SHOP,monthly,0.0,0.04
919451717.87,ارتداد,92866.24,2025-11-13,132.41,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,10:00:00,2025-11-12,134.98,ارتداد زخم,148.478,1,134.98,21,V31-0656,132.41,134.98,9194517.18,0.0,LOSS,-1768.16,-1.9,السياسة المعتمدة,688,CLOSED,,132.41,ANET_monthly_rebound_approved,معتمد,132.41,ANET,monthly,0.0,-0.0
